Date,Close,High,Low,Open,Volume,Daily Price Change,Daily Return,Daily Trading Range,20-Day Moving Average,5-Day Moving Average,5-Day Volatility
2021-09-20,167.7864990234375,170.9499969482422,165.25050354003906,169.8000030517578,93382000,-2.0135040283203125,,5.699493408203125,,,
2021-09-21,167.18150329589844,168.98500061035156,166.6195068359375,168.75,55618000,-1.5684967041015625,-0.3605747369784251,2.3654937744140625,,,
2021-09-22,169.00250244140625,169.4499969482422,167.05250549316406,167.5500030517578,48228000,1.4524993896484375,1.089234819407503,2.397491455078125,,,
2021-09-23,170.8000030517578,171.447998046875,169.00250244140625,169.00250244140625,47588000,1.7975006103515625,1.063594079605279,2.44549560546875,,,
2021-09-24,171.2760009765625,171.46299743652344,169.6699981689453,170.10049438476562,42324000,1.175506591796875,0.2786873046251914,1.792999267578125,,169.2093017578125,
2021-09-27,170.2899932861328,170.77850341796875,166.98049926757812,168.5749969482422,72690000,1.714996337890625,-0.5756835077931344,3.798004150390625,,169.71000061035156,0.7761439687844239
2021-09-28,165.79800415039062,168.45950317382812,164.5050048828125,167.885498046875,88616000,-2.087493896484375,-2.63784679831095,3.954498291015625,,169.43330078125,1.5461783122390438
2021-09-29,165.05599975585938,167.56500244140625,164.89349365234375,166.10549926757812,51246000,-1.04949951171875,-0.4475351789266391,2.6715087890625,,168.6440002441406,1.3805326877320836
2021-09-30,164.2519989013672,166.3925018310547,163.69949340820312,165.8000030517578,56848000,-1.548004150390625,-0.48710792439015105,2.6930084228515625,,167.3343994140625,1.0966187999485963
2021-10-01,164.16299438476562,165.45849609375,162.7969970703125,164.45050048828125,56712000,-0.287506103515625,-0.05418778291703674,2.6614990234375,,165.91179809570312,1.0244727298138343
2021-10-04,159.48899841308594,163.99949645996094,158.8125,163.96949768066406,90462000,-4.480499267578125,-2.8471678341373097,5.1869964599609375,,163.75159912109376,1.3344440255544148
2021-10-05,161.0500030517578,163.0364990234375,160.1230010986328,160.22500610351562,65384000,0.8249969482421875,0.978753803838428,2.9134979248046875,,162.8019989013672,1.4028588813439125
2021-10-06,163.10049438476562,163.2169952392578,159.93099975585938,160.67649841308594,50660000,2.4239959716796875,1.2732016728672857,3.2859954833984375,,162.41089782714843,1.633037546540516
2021-10-07,165.1215057373047,166.28750610351562,164.1529998779297,164.57699584960938,48182000,0.5445098876953125,1.2391203105561077,2.1345062255859375,,162.58479919433594,1.743141393295923
2021-10-08,164.43099975585938,166.07150268554688,164.41000366210938,165.85000610351562,39964000,-1.41900634765625,-0.41818052612956347,1.6614990234375,,162.63840026855468,1.759649802252816
2021-10-11,162.31500244140625,164.62950134277344,161.90499877929688,163.75,40684000,-1.43499755859375,-1.286860335091844,2.7245025634765625,,163.20360107421874,1.1518811760998142
2021-10-12,162.3665008544922,163.37649536132812,161.81399536132812,162.85000610351562,36392000,-0.4835052490234375,0.03172745113595443,1.5625,,163.46690063476564,1.100859399766846
2021-10-13,164.21400451660156,164.41900634765625,163.05450439453125,163.48550415039062,48402000,0.7285003662109375,1.1378601203982708,1.364501953125,,163.68960266113282,1.0680597417743072
2021-10-14,164.9929962158203,165.6300048828125,164.53900146484375,165.12249755859375,42190000,-0.1295013427734375,0.4743759227551214,1.09100341796875,,163.66390075683594,0.9152736184271
2021-10-15,170.4510040283203,170.52099609375,165.1999969482422,165.5709991455078,103598000,4.8800048828125,3.308023939004423,5.3209991455078125,165.6568504333496,164.86790161132814,1.6906482022217353
2021-10-18,172.33700561523438,172.45849609375,169.2550048828125,169.41799926757812,63482000,2.91900634765625,1.1064772529006062,3.2034912109375,165.88437576293944,166.87230224609374,1.2596706139183838
2021-10-19,172.20750427246094,172.7344970703125,171.10000610351562,171.71449279785156,47722000,0.493011474609375,-0.07514424560826072,1.634490966796875,166.13567581176758,168.8405029296875,1.2853430764905653
2021-10-20,170.7530059814453,173.14300537109375,170.01849365234375,172.63299560546875,42796000,-1.8799896240234375,-0.8446195751808605,3.12451171875,166.22320098876952,170.14830322265624,1.5780211995417368
2021-10-21,171.75050354003906,172.01400756835938,170.14999389648438,170.71249389648438,37628000,1.0380096435546875,0.5841756945129006,1.864013671875,166.2707260131836,171.4998046875,1.573221063559385
2021-10-22,166.77749633789062,171.49200439453125,166.56500244140625,171.0500030517578,62782000,-4.2725067138671875,-2.8954833317208384,4.927001953125,166.04580078125,170.76510314941407,1.5625000523744115
2021-10-25,166.01849365234375,167.38999938964844,164.88499450683594,166.75,44520000,-0.73150634765625,-0.4550989805058192,2.5050048828125,165.83222579956055,169.50140075683595,1.316592043162811
2021-10-26,168.80349731445312,170.80599975585938,167.19900512695312,167.47549438476562,53966000,1.3280029296875,1.677526160393561,3.60699462890625,165.98250045776368,168.8205993652344,1.7111393732567062
2021-10-27,169.62449645996094,171.85000610351562,168.57249450683594,169.39999389648438,54044000,0.2245025634765625,0.48636382454707583,3.2775115966796875,166.21092529296874,168.5948974609375,1.725560675437801
2021-10-28,172.32850646972656,173.9499969482422,169.3000030517578,170.10499572753906,114174000,2.2235107421875,1.594115275917063,4.649993896484375,166.61475067138673,168.710498046875,1.8807968667602937
2021-10-29,168.6215057373047,168.74099731445312,163.66600036621094,165.00100708007812,129722000,3.6204986572265625,-2.1511245053778105,5.0749969482421875,166.83767623901366,169.0792999267578,1.5938145100518155
2021-11-01,165.90550231933594,168.79299926757812,164.6009979248047,168.08999633789062,72178000,-2.1844940185546875,-1.6107099780024559,4.1920013427734375,167.15850143432618,169.05670166015625,1.7898021985564165
2021-11-02,165.6374969482422,166.55599975585938,164.17750549316406,165.75050354003906,52552000,-0.113006591796875,-0.1615409780550192,2.3784942626953125,167.38787612915038,168.42350158691406,1.528587472288438
2021-11-03,169.1999969482422,169.74600219726562,164.87600708007812,165.4499969482422,67944000,3.75,2.1507811127532195,4.8699951171875,167.6928512573242,168.3386016845703,1.8979272055633265
2021-11-04,173.85000610351562,174.93150329589844,168.25,168.5,107060000,5.350006103515625,2.748232410840923,6.6815032958984375,168.12927627563477,168.6429016113281,2.1929481076720925
2021-11-05,175.94949340820312,178.3125,173.8489990234375,173.85000610351562,99940000,2.0994873046875,1.207642928374364,4.4635009765625,168.70520095825196,170.1084991455078,1.7677747411403968
2021-11-08,174.44900512695312,178.9499969482422,174.39300537109375,176.16200256347656,61480000,-1.7129974365234375,-0.8527948857282919,4.5569915771484375,169.3119010925293,171.81719970703125,1.5169089484515406
2021-11-09,178.81149291992188,179.68850708007812,175.07150268554688,175.7624969482422,85898000,3.0489959716796875,2.5007238016599764,4.61700439453125,170.13415069580077,174.45199890136718,1.4655376168089138
2021-11-10,174.1024932861328,180.2725067138672,173.1544952392578,178.19349670410156,80548000,-4.09100341796875,-2.6334994227121156,7.118011474609375,170.62857513427736,175.4324981689453,2.300154262526214
2021-11-11,173.625,177.16200256347656,173.37350463867188,175.64999389648438,45288000,-2.024993896484375,-0.2742598782592198,3.7884979248046875,171.06017532348633,175.3874969482422,1.9652781658003804
2021-11-12,176.25750732421875,177.0364990234375,172.3524932861328,174.25,53788000,2.00750732421875,1.5162029225161966,4.6840057373046875,171.35050048828126,175.4490997314453,2.017247026656198
2021-11-15,177.28399658203125,179.69400024414062,176.29049682617188,176.85000610351562,58594000,0.433990478515625,0.5823804463116034,3.40350341796875,171.59785003662108,176.01609802246094,1.9576726405323852
2021-11-16,177.03500366210938,178.8249969482422,176.25750732421875,176.9499969482422,44342000,0.0850067138671875,-0.1404486161877938,2.5674896240234375,171.8392250061035,175.66080017089843,1.540125354798347
2021-11-17,177.4499969482422,179.3625030517578,177.2675018310547,178.23599243164062,51206000,-0.7859954833984375,0.23441312596286235,2.095001220703125,172.17407455444337,176.3303009033203,0.7162343059843926
2021-11-18,184.8029937744141,185.2100067138672,178.0500030517578,178.3175048828125,114070000,6.485488891601591,4.143700734081501,7.160003662109375,172.82669906616212,178.56589965820314,1.7214354541475088
2021-11-19,183.82850646972656,188.1074981689453,183.78599548339844,185.63450622558597,98734000,-1.8059997558594034,-0.5273114275827551,4.321502685546875,173.67924957275392,180.0800994873047,1.8825940837784727
2021-11-22,178.6284942626953,185.67300415039065,178.375,183.81900024414065,96844000,-5.190505981445341,-2.828730052206352,7.298004150390653,174.30974960327148,180.3489990234375,2.518394828987372
2021-11-23,179.0019989013672,181.0525054931641,176.385498046875,179.2519989013672,73804000,-0.25,0.20909577736383245,4.667007446289091,174.81967468261718,180.74239807128907,2.5122471203491465
2021-11-24,179.02049255371094,180.6820068359375,176.84249877929688,178.1334991455078,46560000,0.886993408203125,0.010331533981333685,3.839508056640625,175.2894744873047,181.0564971923828,2.514508398181966
2021-11-26,175.22799682617188,181.6750030517578,175.20750427246094,180.10499572753906,59826000,-4.8769989013671875,-2.1184701669844985,6.467498779296875,175.43444900512696,179.14149780273436,1.3498455845513182
2021-11-29,178.07850646972656,179.8000030517578,176.5749969482422,177.3820037841797,65312000,0.696502685546875,1.6267432688752415,3.225006103515625,175.90729904174805,177.9914978027344,1.820472056901777
2021-11-30,175.35350036621094,179.2884979248047,174.60049438476562,178.1750030517578,80022000,-2.821502685546875,-1.5302274022490625,4.6880035400390625,176.37969894409179,177.3364990234375,1.4891115211183625
2021-12-01,172.18600463867188,177.99400329589844,172.0800018310547,177.25,74916000,-5.063995361328125,-1.8063487303783599,5.91400146484375,176.70712432861328,175.97330017089843,1.5671173073636524
2021-12-02,171.8679962158203,174.63499450683594,171.1875,173.0,64726000,-1.1320037841796875,-0.18468889124809706,3.4474945068359375,176.84052429199218,174.5428009033203,1.5453147173743522
2021-12-03,169.489501953125,173.49349975585938,166.92999267578125,172.75,80712000,-3.260498046875,-1.3839076006382012,6.563507080078125,176.62249908447265,173.39510192871094,1.4186680132113836
2021-12-06,171.36849975585938,173.69549560546875,166.9344940185547,169.64999389648438,68860000,1.718505859375,1.1086219388703134,6.7610015869140625,176.39344940185546,172.0531005859375,1.2145045341208844
2021-12-07,176.1645050048828,177.49949645996094,173.33450317382812,174.60000610351562,66410000,1.5644989013671875,2.798650426336269,4.1649932861328125,176.47922439575194,172.21530151367188,1.8852730799640376
2021-12-08,176.1580047607422,177.17999267578125,174.75050354003906,176.15049743652344,45254000,0.00750732421875,-0.003689871657430732,2.4294891357421875,176.34654998779297,173.00970153808595,1.5748316366672293
2021-12-09,174.17100524902344,176.96949768066406,174.13949584960938,175.75,46062000,-1.5789947509765625,-1.1279643604146683,2.8300018310546875,176.3499755859375,173.47030334472657,1.722036050112427
2021-12-10,172.21200561523438,175.927001953125,170.5,175.41700744628906,60690000,-3.2050018310546875,-1.1247564604614624,5.427001953125,176.27932586669922,174.01480407714843,1.6623636988175086
2021-12-13,169.5675048828125,172.10000610351562,169.1300048828125,172.0,62170000,-2.4324951171875,-1.5356076499860039,2.970001220703125,175.9448257446289,173.65460510253905,1.769927499151841
2021-12-14,169.0915069580078,169.49899291992188,166.44000244140625,167.5500030517578,55976000,1.54150390625,-0.2807129379733708,3.058990478515625,175.53520126342772,172.24000549316406,0.6435947677864479
2021-12-15,173.31500244140625,173.60000610351562,165.19500732421875,168.59800720214844,75794000,4.7169952392578125,2.4977573145925636,8.404998779296875,175.34920120239258,171.67140502929686,1.637015284259216
2021-12-16,168.87100219726562,174.16600036621094,168.16050720214844,173.36849975585938,60876000,-4.49749755859375,-2.5641174633125208,6.0054931640625,174.92025146484374,170.6114044189453,1.917454169785203
2021-12-17,170.0175018310547,170.89849853515625,165.61349487304688,167.7104949951172,85542000,2.3070068359375,0.678920370502567,5.285003662109375,174.18097686767578,170.17250366210936,1.963511245330276
2021-12-20,167.07899475097656,167.87449645996094,165.60000610351562,166.85000610351562,57372000,0.2289886474609375,-1.7283556389377508,2.2744903564453125,173.34350128173827,169.6748016357422,1.996896885717503
2021-12-21,170.41700744628906,170.7165069580078,165.6475067138672,167.85049438476562,55956000,2.5665130615234375,1.9978649621920752,5.069000244140625,172.93292694091798,169.93990173339844,2.24151127161423
