Date,Close,High,Low,Open,Volume,Daily Price Change,Daily Return,Daily Trading Range,20-Day Moving Average,5-Day Moving Average,5-Day Volatility
2021-09-20,282.4476928710937,286.689699826259,277.86019819512114,284.39593784399835,38278700,-1.9482449729046607,,8.829501631137873,,,
2021-09-21,282.9276733398437,285.55734677387863,282.2270909648132,283.7818449278617,22364100,-0.854171588018005,0.16993605572450665,3.33025580906542,,,
2021-09-22,286.5553894042969,288.12935637243464,282.64932121103874,284.7799171748866,26626300,1.7754722294102976,1.2822061630202164,5.480035161395904,,,
2021-09-23,287.495849609375,288.7818804171432,285.54760475520084,286.8144515647207,18604600,0.6813980446543155,0.3281949109500859,3.2342756619423767,,,
2021-09-24,287.2943725585937,287.72623226962907,284.9718196101101,286.2194826708354,14999000,1.0748898877582747,-0.0700799858693757,2.754412659518948,,285.34419555664056,
2021-09-27,282.3230285644531,284.53038991922193,281.14255329173125,284.21369275698544,23571700,-1.8906641925323129,-1.7304007558054946,3.3878366274906853,,285.31926269531243,1.0931330699172357
2021-09-28,272.1018981933594,279.069528394677,271.3629186493173,278.1289850116234,43186200,-6.027086818264024,-3.6203672166120526,7.706609745359685,,283.15410766601565,1.9335278777180775
2021-09-29,272.56256103515625,275.2209951886973,271.6124403531808,273.61826695321446,26353700,-1.0557059180582087,0.16929791554394225,3.608554835516543,,280.3555419921875,1.6878051795350784
2021-09-30,270.5663757324219,276.2383391909567,270.2784399241369,274.20372168206217,32343600,-3.6373459496402916,-0.7323769248253065,5.959899266819832,,276.9696472167969,1.5418996495246438
2021-10-01,277.4571838378906,278.301748595393,269.96171554788884,270.7582763645691,30086300,6.698907473321526,2.54680874030091,8.340033047504164,,275.00220947265626,2.285017984551841
2021-10-04,271.7084350585937,276.1615846612485,268.9636285015287,275.8256741827499,31350700,-4.117239124156185,-2.0719408666152073,7.1979561597198085,,272.87929077148436,2.3291929698327887
2021-10-05,277.1308898925781,278.7048275786298,272.6105528079684,272.6105528079684,24993000,4.520337084609707,1.9956888098873637,6.0942747706614,,273.8850891113281,1.9104509329588109
