Date,Close,High,Low,Open,Volume
2021-09-20,137.41192626953125,137.68978457112166,135.03703359355418,136.85918731338376,46518000
2021-09-21,137.7224578857422,138.69173475427118,136.97456979718643,138.4321958220038,25332000
2021-09-22,138.96116638183594,139.55897809141058,137.24549771276565,137.9909069886217,25056000
2021-09-23,139.88490295410156,140.36087304097438,139.0780815102405,139.6585564297789,20952000
2021-09-24,140.87448120117188,140.9889014490048,138.91908904507557,139.21378542182566,22984000
2021-09-27,139.74224853515625,140.60058167299186,138.7472157143195,139.47726820093547,21882000
2021-09-28,134.5496826171875,137.785387734539,134.08411157822107,137.34805144334183,45772000
2021-09-29,133.08709716796875,135.85822880609126,132.60320680070598,135.6888354361308,30848000
2021-09-30,132.41595458984375,134.26486166268856,132.29709055592656,132.99594577873873,37996000
2021-10-01,135.25592041015625,135.61996414886843,132.80920186499142,133.18016825399758,35360000
2021-10-04,132.39964294433594,134.67894893702572,129.81474265622978,134.67894893702572,51202000
2021-10-05,134.74085998535156,135.9310423000805,132.77754737931195,132.77754737931195,32404000
2021-10-06,136.26829528808594,136.45154903354904,133.28171570875574,133.4798274575008,24364000
2021-10-07,137.9126739501953,138.72197425447405,137.34407938421361,137.58280506274824,25110000
2021-10-08,138.46788024902344,139.00822490974625,137.9052259091704,138.26133433756362,26526000
2021-10-11,137.60459899902344,139.3856551740966,137.55010956888324,137.9790418985693,17954000
2021-10-12,135.16282653808594,138.19200026988304,134.48031058391572,138.16524679321643,36332000
2021-10-13,136.28515625,136.69921546698336,135.23217255462345,136.1073438593819,19654000
2021-10-14,139.82052612304688,140.0052611798392,137.51644677005615,138.15933141827642,31894000
2021-10-15,140.0354766845703,140.3821836681898,139.42826334195342,140.27965888530153,30274000
2021-10-18,141.4321746826172,141.4500103351122,139.7397828702763,139.74672063679765,20396000
2021-10-19,141.88682556152344,142.30832126285318,141.25583655099084,142.03590438610263,20164000
2021-10-20,140.4326934814453,142.1929515962264,140.04389134259256,141.9869044494379,23288000
2021-10-21,140.548583984375,140.81604319627527,139.1756468498999,140.4326824733916,26292000
2021-10-22,136.269775390625,139.25783621028776,134.77351552457247,137.8383452130295,50588000
2021-10-25,136.15142822265625,136.69920946760487,134.14748690052696,136.25345419885457,34412000
2021-10-26,137.99537658691406,138.7625665768636,137.0008424939082,137.95080257189426,49236000
2021-10-27,144.83924865722656,147.24881500925127,138.0909634675946,138.0909634675946,85782000
